SYMBOL,description,go_id
GJB2,gap junction protein beta 2 [Source:NCBI gene;Acc:428083],GO:0005922
GJB2,gap junction protein beta 2 [Source:NCBI gene;Acc:428083],GO:0007154
GJB2,gap junction protein beta 2 [Source:NCBI gene;Acc:428083],GO:0016021
GJB2,gap junction protein beta 2 [Source:NCBI gene;Acc:428083],GO:0030054
GJB2,gap junction protein beta 2 [Source:NCBI gene;Acc:428083],GO:0005886
GJB2,gap junction protein beta 2 [Source:NCBI gene;Acc:428083],GO:0016020
GJB2,gap junction protein beta 2 [Source:NCBI gene;Acc:428083],GO:0005921
GJB6,gap junction protein beta 6 [Source:NCBI gene;Acc:395771],GO:0016021
GJB6,gap junction protein beta 6 [Source:NCBI gene;Acc:395771],GO:0030054
GJB6,gap junction protein beta 6 [Source:NCBI gene;Acc:395771],GO:0005886
GJB6,gap junction protein beta 6 [Source:NCBI gene;Acc:395771],GO:0016020
GJB6,gap junction protein beta 6 [Source:NCBI gene;Acc:395771],GO:0005922
GJB6,gap junction protein beta 6 [Source:NCBI gene;Acc:395771],GO:0005921
GJB6,gap junction protein beta 6 [Source:NCBI gene;Acc:395771],GO:0007605
GJB6,gap junction protein beta 6 [Source:NCBI gene;Acc:395771],GO:0007154
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0015035
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0009055
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0043231
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0005623
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0055114
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0010033
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0022900
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0005654
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0042542
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0045454
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0005634
GLRX2,glutaredoxin 2 [Source:NCBI gene;Acc:424357],GO:0005739
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0007165
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0003924
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0031852
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0007188
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0005834
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0007212
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0046872
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0019001
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0031683
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0000166
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0005525
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0001664
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0031821
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0051430
GNAO1,G protein subunit alpha o1 [Source:NCBI gene;Acc:415698],GO:0007186
GNS,glucosamine (N-acetyl)-6-sulfatase [Source:NCBI gene;Acc:417829],GO:0008484
GNS,glucosamine (N-acetyl)-6-sulfatase [Source:NCBI gene;Acc:417829],GO:0046872
GNS,glucosamine (N-acetyl)-6-sulfatase [Source:NCBI gene;Acc:417829],GO:0003824
GNS,glucosamine (N-acetyl)-6-sulfatase [Source:NCBI gene;Acc:417829],GO:0005539
GNS,glucosamine (N-acetyl)-6-sulfatase [Source:NCBI gene;Acc:417829],GO:0016787
GNS,glucosamine (N-acetyl)-6-sulfatase [Source:NCBI gene;Acc:417829],GO:0005764
GNS,glucosamine (N-acetyl)-6-sulfatase [Source:NCBI gene;Acc:417829],GO:0008449
GNS,glucosamine (N-acetyl)-6-sulfatase [Source:NCBI gene;Acc:417829],GO:0030203
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0005887
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0007155
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0001934
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0032720
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0007267
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0048018
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0045545
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0005178
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0034103
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:1901215
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0031954
GPNMB,glycoprotein nmb [Source:NCBI gene;Acc:428431],GO:0007165
